"price","year","mileage","diesel","hybrid","mt","front.drive","rear.drive","engine.power","engine.capacity","sedan","hatchback","wagon","coupe","cabriolet","minivan","pickup"
"158",1200000,2011,96000,0,0,0,0,0,292,3.5,1,0,0,0,0,0,0
"159",1100000,2010,55000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"160",1360000,2010,50500,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"161",1460000,2013,72000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"162",965000,2011,83000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"163",1220000,2011,161000,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"164",1500000,2011,1e+05,0,0,0,0,0,184,1.8,1,0,0,0,0,0,0
"165",1250000,2010,95000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"166",1295000,2010,119000,1,0,0,0,0,231,3,1,0,0,0,0,0,0
"167",1390000,2014,56000,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"168",930000,2011,58000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"169",1190000,2011,74000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"170",1400000,2012,15500,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"171",1350000,2012,36000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"172",1199000,2010,75000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"173",1200000,2011,102705,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"174",1300000,2012,94000,0,0,0,0,1,252,3.5,1,0,0,0,0,0,0
"175",1150000,2011,110000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"176",1200000,2011,78000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"177",1280000,2011,87500,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"178",1500000,2011,24000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"179",1220000,2012,69000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"180",1450000,2013,49000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"181",1100000,2011,50000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"182",1180000,2011,54000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"183",1350000,2011,72000,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
"184",1450000,2012,30000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"185",1149000,2012,72000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"186",1500000,2013,24000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"187",1050000,2010,114800,1,0,0,0,1,204,2.1,1,0,0,0,0,0,0
"188",1150000,2010,116000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"189",1270000,2010,105000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"190",1e+06,2010,102000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"191",1250000,2011,35800,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"192",1180000,2011,128000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"193",1200000,2011,130000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
